id,x,y,cluster
4,30210.914188218714,33777.947023943605,8
4,30215.860810300088,33778.369528959054,8
6,30224.629299319564,33661.875630478775,4
6,30229.627598420117,33662.86716482243,4
6,30234.574236646065,33663.59015095863,4
6,30239.469213997414,33664.04458888738,4
6,30244.361731530316,33664.43776045528,8
7,29955.290781488817,34824.52576115378,4
10,30225.087966102867,34725.8072532396,5
10,30221.482040838415,34729.458177020104,5
10,30221.81174221514,34732.9224000613,5
10,30226.07707023304,34736.19992236321,5
10,30226.47072436989,34739.620285071884,5
10,30222.99270462569,34743.18348818733,5
10,30219.497467616387,34746.75470289586,5
11,30448.843990379613,34301.4314226147,5
11,30447.687993695065,34305.8745299404,5
12,30095.63927095059,34855.8706009836,5
12,30091.73821196159,34859.5668607339,5
12,30088.494017881607,34862.66574201457,5
12,30109.89851342819,34858.7803527844,5
12,30106.25818492299,34862.510707047506,5
12,30085.906688710642,34865.16724482561,5
12,30103.156690274536,34865.704004180436,5
12,30100.594029482825,34868.3602441832,5
13,30144.727210203215,34806.66035531098,5
13,30139.984870462864,34809.234338370625,5
13,30148.773841597915,34819.01099218493,5
13,30145.286002943492,34822.57433449108,5
14,29977.833664354115,34179.15980605406,4
18,29903.821513607556,34777.83736948142,8
21,29881.596125285385,33874.145416700754,9
21,29886.83255031004,33874.891258194926,9
21,29891.98814953874,33875.63282528248,9
22,30743.07311233824,34438.31299509876,9
22,30738.020567313117,34438.37555213973,9
22,30747.99775172874,34438.462718718154,9
22,30732.840116653362,34438.65038984108,9
22,30752.90518206919,34438.95259894258,9
22,30727.804801987215,34439.039067066304,9
22,30757.79540335959,34439.782635772026,9
22,30762.724973227163,34440.173534861104,9
24,30808.224170643465,34503.397296579235,9
24,30807.269868968015,34508.59464999318,9
24,30801.07662280444,34537.17573596973,9
24,30806.318021076215,34513.538925062756,9
24,30805.368626968066,34518.23012178796,9
24,30804.34543725739,34522.93360944228,9
24,30803.24845194419,34527.649388025726,9
24,30802.15884712654,34532.39676353488,9
26,31020.219573310616,34088.69268315913,10
26,31022.871457066663,34093.133482603684,10
27,31020.219573310616,34088.69268315913,10
27,31022.871457066663,34093.133482603684,10
29,30196.435921081164,33776.78419484631,0
29,30201.104583005115,33777.172702546406,0
29,30205.930672050963,33777.56031224551,0
29,30210.914188218714,33777.947023943605,8
29,30202.91994653309,33779.06604189781,0
29,30193.147242101262,33778.24604279401,4
29,30212.94847327746,33779.85492891613,8
